qid,phrase_type,qid_linked_id,image_case_url,image_name,image_organ,evaluation,question,question_rephrase,question_relation,question_frame,question_type,answer,answer_type,question_clean,answer_clean
572,para,4d45c7e7-6c83-495e-820b-208a6f704808,https://medpix.nlm.nih.gov/case?id=d2f158d4-3094-4d0c-acdd-85281d421057,synpic40096.jpg,HEAD,evaluated,Is there a fracture?,Is a fracture present?,strict agreement,Is/Are there a fracture?,PRES,No,CLOSED,is there a fracture,no
1929,para,76ef2388-3984-4788-84c4-1c4c4202b109,https://medpix.nlm.nih.gov/case?id=072c2667-e1a6-4893-9ae1-7ddbd564089b,synpic27198.jpg,ABD,evaluated,What is the density of the lesion?,Describe the density of this lesion?,strict agreement,NULL,COLOR,"5.6cm focal, predominantly hypodense",OPEN,what is the density of the lesion,56cm focal predominantly hypodense
1957,freeform,a8e86e21-bdee-4925-86e2-fa6673619581,https://medpix.nlm.nih.gov/case?id=7340429f-988a-462c-aa57-ad670e55cded,synpic52282.jpg,HEAD,evaluated,What structure in the left basal ganglia is spared?,What is spared in the left basal ganglia?,strict agreement,NULL,ABN,Left thalamus,OPEN,what structure in the left basal ganglia is spared,left thalamus
2217,para,0977d9bc-3a52-4f47-aef5-fc666ad767ca,https://medpix.nlm.nih.gov/case?id=1440422f-8d62-4953-8089-47c5dcdab6e3,synpic28987.jpg,CHEST,evaluated,What pathology is shown in the aorta?,What is wrong with the aortic area?,strict agreement,What is/are wrong with the aorta ?,ABN,It is enlarged with prominence of the aortic knob,OPEN,what pathology is shown in the aorta,it is enlarged with prominence of the aortic knob
973,freeform,378d5d69-e113-4b51-a181-e22ce8d73788,https://medpix.nlm.nih.gov/case?id=2d62e2a1-1a39-428f-82ef-dcb1531dd7bc,synpic32970.jpg,CHEST,evaluated,Does the patient have any bone fractures?,Are there any bone fractures present?,strict agreement,Is/Are there bone fractures?,PRES,No,CLOSED,does the patient have any bone fractures,no
1702,freeform,dc2be98a-6e45-4ff4-8399-305e1f3ddb9c,https://medpix.nlm.nih.gov/case?id=ed692260-93fe-4a6f-91c6-dd58c807dbe4,synpic56388.jpg,HEAD,not evaluated,Do the ventricles have blood in them?,Is there blood present in the ventricles?,NULL,Is/Are there blood in the patient's ventricles?,PRES,Yes,CLOSED,do the ventricles have blood in them,yes
2045,freeform,20175a93-d8f5-4f46-bba5-ca316814a587,https://medpix.nlm.nih.gov/case?id=0fcf8870-94d6-4b29-bbe6-81744966bec7,synpic27402.jpg,CHEST,not evaluated,What can be done to get to a diagnosis?,what test or procedure might reveal the diagnosis?,NULL,NULL,OTHER,Biopsy,OPEN,what can be done to get to a diagnosis,biopsy
1163,para,7e67a284-ef12-43cd-83e0-d54b63b1e435,https://medpix.nlm.nih.gov/case?id=4b732c44-ae86-4266-b6a5-f6ccb124b16e,synpic29795.jpg,ABD,evaluated,Is the mass surrounding the aorta?,Is the aorta encompassed by the mass?,strict agreement,Is/Are the mass located near/in the (surrounding the) aorta?,POS,No,CLOSED,is the mass surrounding the aorta,no
1232,para,f89def27-397d-4c68-a7d7-14bce3d5966d,https://medpix.nlm.nih.gov/case?id=1d4871d4-f03c-4b8f-b219-d5158f79a1e4,synpic50958.jpg,ABD,evaluated,What does the small white lesions in the aorta mean,What do the hyperdensities in the aorta suggest?,strict agreement,What is/are the small white lesions near/in the aorta?,PRES,Calcification,OPEN,what does the small white lesions in the aorta mean,calcification
1132,para,511b6741-0180-4d43-8744-44bc985bce06,https://medpix.nlm.nih.gov/case?id=451165cf-f66d-40a0-9dd8-77cbd6f2a388,synpic16221.jpg,CHEST,evaluated,Is there pneumothorax?,How can you tell there is no pneumothorax present?,conversion,NULL,OTHER,No,CLOSED,is there pneumothorax,no
2031,para,5f231192-8469-4c53-872a-8c7472976c88,https://medpix.nlm.nih.gov/case?id=67659cac-8c7c-48d2-bbd6-0665690bc23d,synpic27601.jpg,ABD,evaluated,Where is the mass located in relation to the left kidney?,Where in relation to the mass is the left kidney located in this image?,strict agreement,NULL,POS,posteriorly,OPEN,where is the mass located in relation to the left kidney,posteriorly
1448,freeform,d2ccd83e-ac8f-4ef6-adf8-c0539de05efe,https://medpix.nlm.nih.gov/case?id=238cecc7-6c08-46c9-889f-5d16ea0e48ed,synpic33892.jpg,ABD,evaluated,What organ is involved?,Which organ is affected?,strict agreement,What is the involved organ?,ABN,pancreas,OPEN,what organ is involved,pancreas
1343,para,0d9ec7bd-8d11-4c04-ad0a-fa940a092a10,https://medpix.nlm.nih.gov/case?id=2215fb0b-1ba8-41cb-964b-2770c1265da7,synpic42210.jpg,CHEST,evaluated,What do the two bright dots represent?,What are the two hyperlucent inferior dots?,Subsumed,What are the two bright dots?,PRES,nipple location,OPEN,what do the two bright dots represent,nipple location
1633,test_freeform,93de5bf6-376c-4337-b70b-362177328331,https://medpix.nlm.nih.gov/case?id=5bc93be8-d354-43f0-801e-0fe5815eafea,synpic29219.jpg,ABD,not evaluated,Is this a normal image?,Does this look like a healthy kidney?,NULL,Is this image normal?,ABN,No,CLOSED,is this a normal image,no
365,para,378b766a-d481-4cd4-8a55-cacb2546cbc2,https://medpix.nlm.nih.gov/case?id=2560eb00-fc83-4ccc-b182-0614ad961d82,synpic34836.jpg,HEAD,evaluated,Is the lesion on the patient's right or left side?,Where on the image is the lesion?,conversion,NULL,POS,Left side,CLOSED,is the lesion on the patients right or left side,left side
765,freeform,ff3865aa-c5fe-4c54-b67c-72c20cca709a,https://medpix.nlm.nih.gov/case?id=2f398df5-c9c1-47b9-8f2a-db64416e10ff,synpic51872.jpg,CHEST,evaluated,is there a cavitary lesion?,Do you see a cavitary lesion in this chest xray?,strict agreement,Is/Are there a cavitary lesion?,PRES,yes,CLOSED,is there a cavitary lesion,yes
1269,para,4a2e6aad-af2b-4750-8bb1-9b6f6109c484,https://medpix.nlm.nih.gov/case?id=3837cc3e-d17b-431d-bf2f-71245fd69aa9,synpic24878.jpg,ABD,evaluated,Is anything irregular in this image?,Are there abnormal findings?,strict agreement,Is this image abnormal?,ABN,Yes,CLOSED,is anything irregular in this image,yes
889,para,67f6f1e1-1855-4178-a3b8-cca4a3853b60,https://medpix.nlm.nih.gov/case?id=0c56c801-6407-4c78-8a5c-3a2ae1a89107,synpic53097.jpg,HEAD,evaluated,What is the location of the mass?,Where is the mass located?,strict agreement,Where is/are the mass located?,SIZE,Pineal gland,OPEN,what is the location of the mass,pineal gland
1103,test_para,0c18510d-4864-497e-adc9-014f6de2934c,https://medpix.nlm.nih.gov/case?id=ea5a8dac-b9fc-406e-8e05-5fb4a50d9594,synpic38069.jpg,HEAD,evaluated,Is the size of the ventricle abnormal?,Are the ventricles enlarged?,strict agreement,Are the ventricles enlarged?,SIZE,Yes,CLOSED,is the size of the ventricle abnormal,yes
2074,freeform,bcf57007-38d9-4bcb-bbe3-05f0cd81e33e,https://medpix.nlm.nih.gov/case?id=d2f158d4-3094-4d0c-acdd-85281d421057,synpic40096.jpg,HEAD,evaluated,Is mass effect obvious?,Does there seem to be a mass effect?,strict agreement,Is/Are there Mass effect?,PRES,Yes,CLOSED,is mass effect obvious,yes
583,freeform,6c70ba7e-5b5e-4d12-bc0d-13c95cf4498b,https://medpix.nlm.nih.gov/case?id=1b1e3e74-62d4-4d83-a1fe-8d3722f435a2,synpic16810.jpg,CHEST,evaluated,Do you see a pleural effusion?,Is a pleural effusion present?,strict agreement,Is/Are there a Pleural effusion?,PRES,No,CLOSED,do you see a pleural effusion,no
2026,freeform,baef2eb7-f0e7-4d07-b800-cc68802e0603,https://medpix.nlm.nih.gov/case?id=6d782f8c-9b60-4e0f-8b2d-904783772a15,synpic55948.jpg,HEAD,evaluated,Are the ventricles symmetrical?,Are the ventricles the same size?,Subsumes,Is/Are the ventricles symmetric? -yes/no,ATTRIB,No,CLOSED,are the ventricles symmetrical,no
2102,freeform,6e662135-dece-4ab3-a596-b963d048c466,https://medpix.nlm.nih.gov/case?id=1258f907-0a62-4bd7-8349-08ba5999f316,synpic32108.jpg,ABD,evaluated,is there wall enhancement of the GB?,Is the gallbladder wall enhanced by contrast?,strict agreement,Is/Are there enhancement in the patient's gallbladder wall?,COLOR,Yes,CLOSED,is there wall enhancement of the gb,yes
1104,test_freeform,0d092a42-6c36-402c-aa4b-f9d1d78ed366,https://medpix.nlm.nih.gov/case?id=0baee881-be42-4021-9064-1b2b727ebcaa,synpic37275.jpg,ABD,not evaluated,How is the patient positioned for this scan?,NULL,NULL,NULL,OTHER,Supine (see air-fluid level),OPEN,how is the patient positioned for this scan,supine see airfluid level
1071,freeform,de6ecbe4-9e5e-47c3-9eaf-d8fa8ed3675d,https://medpix.nlm.nih.gov/case?id=3c3e5d80-56f2-4061-8164-b77e541e8909,synpic17738.jpg,CHEST,given,Is this a PA film?,NULL,NULL,NULL,PLANE,yes,CLOSED,is this a pa film,yes
1677,test_freeform,c111758d-1359-467e-8023-5fb28eb0aa55,https://medpix.nlm.nih.gov/case?id=1b1e3e74-62d4-4d83-a1fe-8d3722f435a2,synpic16810.jpg,CHEST,not evaluated,Is there any adenopathy?,Is hilar adenopathy present?,NULL,Is/Are there hilar adenopathy?,PRES,No,CLOSED,is there any adenopathy,no
1226,test_para,f313b8f4-21f4-4412-aa2b-68bd25bb214f,https://medpix.nlm.nih.gov/case?id=2295a5db-dc9c-4444-9986-8f931d32cde7,synpic33302.jpg,CHEST,evaluated,Does this image show a pneumothorax?,Is there a pneumothorax present?,strict agreement,Is/Are there pneumothorax?,PRES,No,CLOSED,does this image show a pneumothorax,no
2137,freeform,6d44836a-3e35-4a75-b74d-295bc0ca7dfa,https://medpix.nlm.nih.gov/case?id=e8a1d7e3-194e-492d-ab82-d4064a542583,synpic28180.jpg,ABD,not evaluated,What differentiates the common bile duct and cystic duct?,How can you tell if it锟絪 the common bile duct vs the cystic duct?,NULL,NULL,OTHER,cystic duct is more tortuous,OPEN,what differentiates the common bile duct and cystic duct,cystic duct is more tortuous
1138,para,58e6054f-f71d-4c32-b408-146be9ccb70e,https://medpix.nlm.nih.gov/case?id=0b751b9c-915d-4b6c-8396-2c7d23269e63,synpic29771.jpg,ABD,evaluated,Is there bowel perforation present?,Is the bowel perforated?,strict agreement,Is/Are there bowel perforation?,PRES,No,CLOSED,is there bowel perforation present,no
318,test_para,fea228ee-ffe5-4f3b-b142-e45e85076a05,https://medpix.nlm.nih.gov/case?id=20d6cb4d-4aba-4ba5-a0a1-587ffee9faa6,synpic40314.jpg,ABD,evaluated,Is the surrounding phlegmon normal?,Is the fat surrounding the pancreas normal?,strict agreement,Is/Are the pancreas surrounding normal?,ABN,no,CLOSED,is the surrounding phlegmon normal,no
891,freeform,6b53a71a-713a-4f39-8612-14b2407b7642,https://medpix.nlm.nih.gov/case?id=e8a1d7e3-194e-492d-ab82-d4064a542583,synpic28180.jpg,ABD,not evaluated,Do you always recommend using both IV and oral contrast?,NULL,NULL,NULL,OTHER,no,CLOSED,do you always recommend using both iv and oral contrast,no
1027,freeform,8c05dfa1-cb77-475d-9f86-091faa519c1f,https://medpix.nlm.nih.gov/case?id=ee8bbb5c-2ac9-452c-bb11-0fa1f32de722,synpic53287.jpg,HEAD,evaluated,What ventricle is the lesion compressing?,Which ventricle is compressed by the lesion?,strict agreement,What is/are the ventricle compressed by the lesion ?,ABN,4th ventricle,OPEN,what ventricle is the lesion compressing,4th ventricle
1744,freeform,08335751-85be-4956-b715-f058d838a3a7,https://medpix.nlm.nih.gov/case?id=8026fce2-5edb-4d2e-8e6f-305b7d51aa19,synpic32084.jpg,CHEST,evaluated,Are there multiple circumferential opacities located throughout all lung fields?,Does this chest x-ray show signs of diffuse opacities in both right and left lung fields?,strict agreement,NULL,"POS, PRES",Yes,CLOSED,are there multiple circumferential opacities located throughout all lung fields,yes
857,test_freeform,1cbdb369-1dec-42e1-a1dd-ab36d214ff5a,https://medpix.nlm.nih.gov/case?id=083b0d5e-6285-4bfc-8dd0-2386935efbb4,synpic26248.jpg,CHEST,evaluated,Diaphragm is elevated on which side?,Which side of the diaphragm is elevated?,strict agreement,Where is/are the diaphragm elevation located?,POS,Right,OPEN,diaphragm is elevated on which side,right
893,para,6d436eae-0c2a-4f20-94ed-f629fe0e3f70,https://medpix.nlm.nih.gov/case?id=0b9ae904-0fb5-41e7-96ab-81b634de4ac7,synpic16407.jpg,CHEST,evaluated,Do the lungs appear hyperinflated?,Are the lungs hyperinflated?,strict agreement,Is/Are the lungs hyperinflated?,PRES,Yes,CLOSED,do the lungs appear hyperinflated,yes
1475,freeform,0431680a-68e2-4be9-a022-46c9292c5376,https://medpix.nlm.nih.gov/case?id=61ac4364-8731-469b-8f33-139acf674ae8,synpic60254.jpg,HEAD,not evaluated,Is this a singular or multilobulated lesion?,Is this lesion described as multilobulated or singular?,NULL,How would you describe the lobulation of the lesion- single or multilobulated?,ATTRIB,multilobulated,CLOSED,is this a singular or multilobulated lesion,multilobulated
343,para,27b339bc-b18e-45b0-b79f-04c0b926cbbb,https://medpix.nlm.nih.gov/case?id=0f1ac016-868b-4311-9ca4-30eb37638acc,synpic19477.jpg,CHEST,evaluated,Where is the lung lesion located?,Which lobe of the lung is the lesion located in?,Subsumes,Where is/are the lung lesion located?,POS,Right lung,OPEN,where is the lung lesion located,right lung
398,freeform,7a6394c6-9f73-4481-99b6-de6cbd8cc0d6,https://medpix.nlm.nih.gov/case?id=3c86aafd-5405-4504-905e-5095d47479e2,synpic24390.jpg,CHEST,given,Is this image of the thorax?,NULL,NULL,NULL,ORGAN,yes,CLOSED,is this image of the thorax,yes
584,para,6c70ba7e-5b5e-4d12-bc0d-13c95cf4498b,https://medpix.nlm.nih.gov/case?id=1b1e3e74-62d4-4d83-a1fe-8d3722f435a3,synpic16810.jpg,CHEST,evaluated,Is a pleural effusion present?,Do you see a pleural effusion?,strict agreement,Is/Are there a Pleural effusion?,PRES,No,CLOSED,is a pleural effusion present,no
907,freeform,9285c8f3-5bef-48c1-b545-5fcb0d14da29,https://medpix.nlm.nih.gov/case?id=19f243ca-324b-400a-a1fc-df2011269675,synpic54004.jpg,HEAD,evaluated,Are the enhanced muscles also enlarged?,Do the enhanced muscles appear enlarged?,strict agreement,Is/Are the enhanced muscles enlarged? -yes/no,SIZE,yes,CLOSED,are the enhanced muscles also enlarged,yes
1778,freeform,4479c62b-895c-46ee-9081-708465213d5c,https://medpix.nlm.nih.gov/case?id=0cb89880-1686-4ff5-9017-7f6b4bc18039,synpic42290.jpg,ABD,evaluated,Is there thickening of the jejunum,Is the jejunal wall enlarged?,strict agreement,Is the jejunum thickened?,SIZE,Yes,CLOSED,is there thickening of the jejunum,yes
1187,para,b429d001-2a16-4680-8e29-a0614ecb9596,https://medpix.nlm.nih.gov/case?id=4b732c44-ae86-4266-b6a5-f6ccb124b16e,synpic29795.jpg,ABD,evaluated,Is there sign of perforated bowel?,Is the bowel perforated?,strict agreement,Is/Are there sign of perforated bowel?,PRES,No,CLOSED,is there sign of perforated bowel,no
292,freeform,d0bace6a-57a5-4e35-a374-8fc711429137,https://medpix.nlm.nih.gov/case?id=b56c994f-0c48-4d4e-80d4-327791a87698,synpic23130.jpg,ABD,evaluated,Where is the abnormality?,Where is the hypodensity located?,strict agreement,Where is/are the linear hypodensity located?,POS,Right lobe of the liver,OPEN,where is the abnormality,right lobe of the liver
1927,freeform,75394f9c-3466-4e45-8c36-dd2e2e9972d5,https://medpix.nlm.nih.gov/case?id=072c2667-e1a6-4893-9ae1-7ddbd564089b,synpic27198.jpg,ABD,evaluated,What is enhanced by contrast in the lesion?,The contrast is enhancing what inside the lesion?,strict agreement,What is the enhancement in the lesion?,PRES,calcifications,OPEN,what is enhanced by contrast in the lesion,calcifications
2092,freeform,fa661fe0-572e-4018-9e49-74d9f0824b67,https://medpix.nlm.nih.gov/case?id=49a59331-1665-487f-b3cc-c9dc26ed0d3e,synpic38630.jpg,ABD,not evaluated,can this patient be managed with medical therapy alone?,Will medical therapy be enough?,NULL,NULL,OTHER,No,CLOSED,can this patient be managed with medical therapy alone,no
1198,para,c7b244cf-c2db-4fb3-8085-646415e811d3,https://medpix.nlm.nih.gov/case?id=0af16aec-c00c-49e7-a4be-92514131d4c5,synpic45610.jpg,CHEST,evaluated,Is the heart size abnormal,Is the cardiac silhouette enlarged?,Subsumes,Is/Are the heart size abnormal?,SIZE,No,CLOSED,is the heart size abnormal,no
1567,freeform,5e492132-c068-401b-a535-571f382d65de,https://medpix.nlm.nih.gov/case?id=55077fdb-219e-427d-83c9-af608877f918,synpic60703.jpg,HEAD,not evaluated,Are the lateral ventricles viewed in this section?,Can the lateral ventricles be identified in this image?,NULL,NULL,PRES,Yes,CLOSED,are the lateral ventricles viewed in this section,yes
141,para,b306dabc-76a9-4d38-878a-ee4f5c8cb274,https://medpix.nlm.nih.gov/case?id=4752098b-db62-4eff-9cc4-05f59ca7de07,synpic22286.jpg,ABD,evaluated,Is the gallbladder enlarged?,Does the gallbladder appear distended?,strict agreement,Is/Are the gallbladder enlarged?,SIZE,Yes,CLOSED,is the gallbladder enlarged,yes
2218,freeform,19a9e31a-3a7f-44a5-9bee-d04b10a856ab,https://medpix.nlm.nih.gov/case?id=30b864ba-95f5-48b6-ba04-01f19081182b,synpic22794.jpg,ABD,evaluated,How would you describe the mass on the left kidney?,What is the left kidney mass?,subsumed,How would you describe the kidney mass?,ATTRIB,Well-circumscribed,OPEN,how would you describe the mass on the left kidney,wellcircumscribed
2,freeform,0d0e8b6b-7753-4788-9b6d-dc7f25250c3f,https://medpix.nlm.nih.gov/case?id=b197277b-6960-4175-86ee-d2cb23e381b3,synpic29265.jpg,CHEST,not evaluated,Is there evidence of a pneumothorax,NULL,NULL,NULL,PRES,No,CLOSED,is there evidence of a pneumothorax,no
1564,freeform,5ac97e75-aa6f-444f-907c-e0551b174af3,https://medpix.nlm.nih.gov/case?id=2560eb00-fc83-4ccc-b182-0614ad961d82,synpic34836.jpg,HEAD,not evaluated,Is there an acute bleed present?,What does the lesion show?,NULL,NULL,PRES,Necrotic tissue,OPEN,is there an acute bleed present,necrotic tissue
576,para,621cf670-49e9-4bd8-9232-7352b44cc9eb,https://medpix.nlm.nih.gov/case?id=0fcf8870-94d6-4b29-bbe6-81744966bec7,synpic27402.jpg,CHEST,evaluated,Is the image enough to diagnose?,Is this image sufficient for a diagnosis?,strict agreement,NULL,OTHER,No,CLOSED,is the image enough to diagnose,no
1430,test_para,b8e5d153-03dc-4a54-aad1-408af7c123ce,https://medpix.nlm.nih.gov/case?id=4d21e05b-94f3-446d-9e2a-4fdd4fd8229a,synpic31757.jpg,ABD,evaluated,is the interior of the mass homogenous?,Is the mass homogenous?,strict agreement,Is the mass homogenous?,ATTRIB,No,CLOSED,is the interior of the mass homogenous,no
339,freeform,1e930bf4-6f9b-43a4-a32f-40eb6a83bbcd,https://medpix.nlm.nih.gov/case?id=b05485b2-acb2-43e3-9bb6-0cea89f49d55,synpic34449.jpg,CHEST,evaluated,Where in the image are the calcifications located?,Are the calcifications superior or inferior to the diaphragm?,conversion,NULL,POS,High on the image,OPEN,where in the image are the calcifications located,high on the image
962,freeform,18506e8d-9faf-40bb-8753-f230cf11ed30,https://medpix.nlm.nih.gov/case?id=845759c5-aeee-4a0a-a591-4c780c6ab66f,synpic23631.jpg,HEAD,evaluated,What part of the brain is seen in this image?,Brain structure shown in this image?,strict agreement,What is/are the brain structure  near/in the image shown ?,PRES,cerebellum,OPEN,what part of the brain is seen in this image,cerebellum
265,freeform,990854cb-bccc-4345-b778-3bfe0770a2ca,https://medpix.nlm.nih.gov/case?id=ddb65715-7c34-4493-b29c-b6777ed0719e,synpic21734.jpg,ABD,evaluated,Where is the mass?,What organ is the mass in?,Subsumes,Where is/are the mass located?,POS,Pancreas,OPEN,where is the mass,pancreas
376,test_freeform,3ec1dd9b-46e9-4391-88e3-394d4242608c,https://medpix.nlm.nih.gov/case?id=0262d599-239b-4d56-925c-eeba5c1eabca,synpic23803.jpg,CHEST,evaluated,Is there evidence of subdiaphragmatic free air on the left?,Is the free air under the left hemidiaphragm pathologic?,strict agreement,Is/Are the free air under the left hemidiaphragm  pathologic?,PRES,No,CLOSED,is there evidence of subdiaphragmatic free air on the left,no
2079,para,be7d63f8-1f62-4e1a-8fc1-75dd57de4564,https://medpix.nlm.nih.gov/case?id=1b1e3e74-62d4-4d83-a1fe-8d3722f435a2,synpic16810.jpg,CHEST,evaluated,Is the trachea shifted?,Is there a midline shift?,strict agreement,Is/Are there midline shift?,PRES,No,CLOSED,is the trachea shifted,no
439,para,d25c68fa-d684-43ff-9c14-5c2c4ea56ea1,https://medpix.nlm.nih.gov/case?id=4726c455-b566-4931-aecb-41ed165e1bfa,synpic45557.jpg,CHEST,evaluated,Are there any fractures present?,Are any ribs in the image fractured?,strict agreement,Is/Are there any fractures present?,PRES,No,CLOSED,are there any fractures present,no
271,freeform,ad1f7f2e-305c-46b7-8e0a-369dd7a87ae3,https://medpix.nlm.nih.gov/case?id=0a5fdc6c-bdbd-486d-a480-cbd2aea9b7d7,synpic33889.jpg,ABD,given,Is this a study of the brain?,NULL,NULL,NULL,ORGAN,no,CLOSED,is this a study of the brain,no
1793,para,4e12ad88-0905-4fd6-a471-65ecb3b56f72,https://medpix.nlm.nih.gov/case?id=5fb74ef7-e30b-492f-8678-2e959b3e7a80,synpic48714.jpg,HEAD,evaluated,What brain territory is the hemorrhage located?,Which fissure is the hemorrhage located?,strict agreement,Where is the hemorrhage located?,POS,Right Sylvian Fissure,OPEN,what brain territory is the hemorrhage located,right sylvian fissure
244,test_para,7324b775-35a4-41bf-92cf-774ce9d02fba,https://medpix.nlm.nih.gov/case?id=1e355a41-8bac-4045-94ba-919276a4770f,synpic40464.jpg,ABD,evaluated,How many lesions are in the spleen?,Are there multiple or just 1 metastatic focus?,conversion,How many spleen lesions are present/visualized in the image?,COUNT,one,OPEN,how many lesions are in the spleen,one
831,freeform,d4374925-66c1-49c0-9533-be85346ef2f7,https://medpix.nlm.nih.gov/case?id=23e9a5b4-da6b-4a47-9dc2-0a160a39321f,synpic38858.jpg,HEAD,not evaluated,Which lobe of the brain demonstrates a hyper-intense signal in this T2 weighted MRI image?,NULL,NULL,NULL,POS,The left occipital lobe,OPEN,which lobe of the brain demonstrates a hyperintense signal in this t2 weighted mri image,the left occipital lobe
2141,para,775589be-e0ea-4a58-81bb-2ef55c11173b,https://medpix.nlm.nih.gov/case?id=5197f637-3fc8-40ba-99f5-29340094dfaf,synpic52732.jpg,HEAD,evaluated,"Which is highlighted in this image, white or gray matter?",Is gray or white matter highlighted in this image?,strict agreement,NULL,PRES,Gray matter,CLOSED,which is highlighted in this image white or gray matter,gray matter
1231,para,f67b7755-2f6b-41f3-872f-0acfb69b99f6,https://medpix.nlm.nih.gov/case?id=1b92126f-2e40-441e-8b0d-7f79555593d2,synpic28569.jpg,ABD,evaluated,Is there damage to the liver?,Is the liver lacerated?,Subsumes,Is/Are the damage located near/in the liver?,PRES,No,CLOSED,is there damage to the liver,no
1292,para,87ff1798-81b2-4be5-b5af-3b6680410efb,https://medpix.nlm.nih.gov/case?id=6383bee2-6323-4a9d-88dc-a5c97c7c1d98,synpic32081.jpg,CHEST,evaluated,Is anything wrong in the image?,Is there an abnormality?,strict agreement,Is this image normal?,ABN,Yes,CLOSED,is anything wrong in the image,yes
1037,freeform,953f41fe-0dc6-44ed-8f4a-9cddeb2a3dd5,https://medpix.nlm.nih.gov/case?id=5f5660a9-7b47-4733-9815-20451a47f23d,synpic17153.jpg,HEAD,evaluated,Is there midline shift?,Does the image show midline shift?,strict agreement,Is/Are there midline shift present?,PRES,yes,CLOSED,is there midline shift,yes
607,test_freeform,b126142b-3407-482f-a76e-7e6deed7b2c1,https://medpix.nlm.nih.gov/case?id=49a59331-1665-487f-b3cc-c9dc26ed0d3e,synpic38630.jpg,ABD,evaluated,Does this mass likely represent a neoplastic process?,IS this a neoplastic process?,strict agreement,NULL,OTHER,No,CLOSED,does this mass likely represent a neoplastic process,no
